title,typeOfResource,genre,placeTerm,publisher,dateIssued,languageTerm,form(marccategory),form(marcsmd),extent
"          1999 borough of Hightstown, Mercer County, New Jersey                  Nineteen ninety-nine borough of Hightstown, Mercer County, New Jersey                  1999 community information guide, borough of Hightstown, Mercer County, New Jersey          welcome to the borough of Hightstown       ",                   cartographic                ,map,"Birdsboro, PA Hightstown",Community Map Company Borough of Hightstown [distributor,1999?] 1999,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
"          City of New Kensington, Westmoreland County, Pennsylvania, 1999 community information guide & map                  1999 city of New Kensington, Westmoreland County, Pennsylvania       ",                   cartographic                ,map,"Birdsboro, PA New Kensington",Community Map Company City of New Kensington [distributor,1999] 1999,          eng       ,map,map,"1 map : col. ; 52 x 31 cm., folded to 32 x 25 cm."
"          1998-1999 borough of Highlands, Monmouth County, New Jersey                  Nineteen ninety-eight-nineteen ninety-nine borough of Highlands, Monmouth County, New Jersey                  Borough of Highlands, Monmouth County, New Jersey, 1999 community information guide       ",                   cartographic                ,map,"Birdsboro, PA Highlands",Community Map Company Borough of Highlands [distributor,1998?] 1998,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
"          1999 town of Elkton, Cecil County, Maryland                  Nineteen ninety-nine town of Elkton, Cecil County, Maryland                  1999 community information guide       ",                   cartographic                ,map,"Birdsboro, PA Elkton",Community Map Company Town of Elkton,[1999?] 1999,          eng       ,map,map,"1 map : col. ; 37 x 46 cm., folded to 32 x 25 cm."
"          1999 the town of Millsboro, Sussex County, Delaware                  Nineteen ninety-nine the town of Millsboro, Sussex County, Delaware                  1999 community information guide, town of Millsboro, Sussex County, Delaware          welcome to the town of Millsboro       ",                   cartographic                ,map,"Birdsboro, PA Millsboro",Community Map Company Town of Millsboro [distributor,1999?] 1999,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
"          1999 town of Selbyville, Sussex County, Delaware                  Nineteen ninety-nine the town of Millsboro, Sussex County, Delaware                  Town of Selbyville, Sussex County, Delaware, 1999 community information guide          welcome to Selbyville       ",                   cartographic                ,map,"Birdsboro, PA Selbyville",Community Map Company Town of Selbyville [distributor,1999?] 1999,          eng       ,map,map,"1 map : col. ; 38 x 46 cm., folded to 32 x 25 cm."
"          Greater Pittsburgh, Pennsylvania, streetmap          extensive coverage : including Baldwin, Bellevue, Bethel Park, Bradford Woods ... featuring inset maps of the greater Pittsburgh area & Golden Triangle                  Greater Pittsburgh, Pennsylvania, street map                  UniversalMAP greater Pittsburgh, Pennsylvania, streetmap                  Pittsburgh and vicinity       ",                   cartographic                ,map,"Williamston, MI",UniversalMAP,[1999?] 1999,          eng       ,map,map,"1 map : both sides, col. ; 120 x 111 cm., on sheet 86 x 112 cm., folded to 23 x 11 cm."
"          Maps of Cole County with Jefferson City, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 56 cm. and 45 x 60 cm., sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Cole County with Jefferson City, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 56 x 54 cm. and 47 x 66 cm., sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Odessa and Higginsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1989 1989,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Higginsville and Odessa, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Higginsville and Odessa, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Odessa and Higginsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Odessa and Higginsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 39 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Odessa and Higginsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 37 x 56 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Lafayette County with Lexington, Odessa and Higginsville, Missouri          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 37 x 56 cm. or smaller, sheet 58 x 89 cm., folded to 11 x 23 cm."
"          Maps of Ellis & Russell Counties with Hays and Russell, Kansas          happy to help you find your way around!                  Maps of Ellis and Russell Counties with Hays and Russell, Kansas       ",                   cartographic                ,map,"Springdale, Ohio","Merchant Maps, Division of Mass Marketing Inc.",c1981 1981,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 50 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Ellis & Russell Counties with Hays and Russell, Kansas          happy to help you find your way around!                  Maps of Ellis and Russell Counties with Hays and Russell, Kansas       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 43 x 40 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Ellis & Russell Counties with Hays and Russell, Kansas          happy to help you find your way around!                  Maps of Ellis and Russell Counties with Hays and Russell, Kansas       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1983 1983,          eng       ,map,map,"4 maps on 1 sheet : both sides ; 50 x 56 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Russell and Ellis Counties with Russell, Hays, and Fort Hays State University, Kansas          happy to help you find your way around!                  Maps of Ellis and Russell Counties with Hays and Russell, Kansas       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"5 maps on 1 sheet : both sides ; 39 x 38 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Cowley County, Arkansas City, & Winfield, Kansas          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 55 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of Cowley County, Arkansas City, & Winfield, Kansas          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1988 1988,          eng       ,map,map,"3 maps on 1 sheet : both sides ; 56 x 63 cm. or smaller, sheet 59 x 89 cm., folded to 11 x 23 cm."
"          Maps of northern Kanawha County & Charleston, West Virginia          happy to help you find your way around!                  Maps of northern Kanawha County and Charleston, West Virginia       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1987 1987,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 48 x 61 cm. and 56 x 86 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of western Kanawha County with St. Albans, Dunbar, Cross Lanes, Nitro & Tyler Heights, West Virginia          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1984 1984,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 71 x 47 cm. and 56 x 78 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of western Kanawha County with St. Albans, Dunbar, Cross Lanes, Nitro & Tyler Heights, West Virginia          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1986 1986,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 47 cm. and 56 x 78 cm., sheet 59 x 89 cm., folded to 23 x 11 cm."
"          Maps of western Kanawha County with St. Albans, Dunbar, Cross Lanes, Nitro & Tyler Heights, West Virginia          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, Ohio","Mass Marketing Inc., Merchant Maps Division",c1985 1985,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 69 x 47 cm. and 56 x 78 cm., sheet 59 x 89 cm., folded to 10 x 23 cm."
"          Maps of Kanawha County with St. Albans, Dunbar, Cross Lanes, Nitro & Tyler Heights, West Virginia          happy to help you find your way around!       ",                   cartographic                ,map,"Cincinnati, OH","Mass Marketing Inc., Merchant Maps Division",c1982 1982,          eng       ,map,map,"2 maps on 1 sheet : both sides ; 65 x 57 cm. and 56 x 87 cm., sheet 59 x 89 cm., folded to 23 x 10 cm."
